id	name	student_number	course	gender	MBTI	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9
41	Fina Cousans	2018162041	1	2	6	3	3	3	3	5	4	4	4	5	5	4	2	5	3	4	3	3	5	1	4	2	2	3	3	2	3	2	
42	Loralee Orhtmann	2018162042	1	2	6	5	5	4	3	3	4	4	3	4	5	5	3	5	4	3	5	3	5	2	4	1	2	1	2	2	3	3	
43	Steffi Eydel	2018162043	2	1	7	4	4	4	3	2	3	4	3	3	4	5	4	4	5	4	5	4	3	2	4	4	1	4	3	4	2	4	
44	Valaria Gibbard	2018162044	2	1	14	3	3	5	5	5	3	5	4	4	4	5	5	5	4	4	4	3	4	1	1	3	2	2	3	2	2	2	
45	Adelheid Swett	2018162045	1	2	7	4	5	5	4	5	3	3	4	5	5	3	4	2	5	3	2	4	4	3	4	4	2	1	3	3	2	3	
46	Jeniece Scrowston	2018162046	3	2	5	3	1	1	2	1	1	2	4	1	3	1	2	2	1	3	2	3	4	3	3	4	5	4	3	3	5	3	
47	Syman Siely	2018162047	1	1	1	4	4	5	3	3	5	3	4	5	4	4	3	3	5	4	3	2	3	3	1	3	3	2	3	3	2	4	
48	Rosaleen Dudman	2018162048	1	2	13	5	4	4	4	4	3	3	4	3	2	5	4	3	3	4	5	4	3	3	2	3	3	3	4	2	3	4	
49	Archer Delwater	2018162049	3	2	2	1	3	4	3	4	3	3	3	4	4	4	1	1	2	1	2	4	4	2	3	4	4	4	3	5	3	2	
50	Wilie Copello	2018162050	3	1	5	1	1	2	3	1	2	4	2	4	4	1	1	2	3	3	3	4	4	4	3	4	3	3	3	5	5	5	
51	Clive Attewill	2018162051	3	1	4	1	4	3	1	3	3	3	2	3	3	2	3	4	2	3	3	3	2	5	5	4	3	5	4	4	3	4	
52	Cindra Keohane	2018162052	3	2	9	3	1	3	3	3	3	2	2	1	3	1	4	3	1	3	3	2	3	4	5	4	4	4	3	3	3	5	
53	Gael Waddilove	2018162053	2	1	8	5	2	4	5	3	4	4	5	2	4	5	4	5	3	4	4	5	4	3	2	3	4	1	2	3	4	3	
54	Floyd Aslam	2018162054	3	1	2	2	2	2	2	3	2	2	2	4	1	1	1	3	4	3	2	1	2	3	3	4	3	4	4	5	5	5	
55	Huey Kahan	2018162055	2	1	1	3	4	5	3	5	5	4	2	5	5	5	4	4	3	4	5	4	3	4	1	3	1	2	3	2	2	4	
56	Cyndie Greensides	2018162056	1	2	14	3	4	4	3	5	4	4	5	5	3	4	4	4	2	4	4	4	2	2	3	3	2	2	3	2	3	3	
57	Lottie Coventry	2018162057	1	2	4	5	5	5	4	4	4	5	3	3	4	5	4	4	2	2	4	3	2	2	2	1	3	4	1	2	1	2	
58	Reginald Brimham	2018162058	2	2	13	4	4	3	2	5	2	4	5	3	5	5	5	3	5	5	5	4	3	2	1	3	3	4	4	1	3	3	
59	Boyce Walshe	2018162059	3	1	13	1	4	4	2	2	4	1	1	2	4	3	1	2	3	4	4	2	1	5	4	3	4	5	3	3	4	4	
60	Roddy Wilton	2018162060	2	1	5	4	5	2	5	3	3	5	3	2	4	3	4	4	5	4	5	4	5	2	3	1	2	3	3	3	1	4	
61	Donna Gooderick	2018162061	2	1	11	4	3	3	2	3	4	3	4	3	4	4	5	5	5	5	5	4	4	1	1	4	1	4	3	3	1	2	
62	Forster McLeoid	2018162062	2	2	5	3	4	3	3	3	4	4	5	3	3	4	5	4	5	4	4	4	3	3	4	3	3	4	3	3	2	1	
63	Isak Waterfall	2018162063	2	2	7	2	4	5	4	4	4	3	4	3	3	5	4	4	4	4	5	5	5	2	2	2	3	2	4	2	3	1	
64	Rozina Shorto	2018162064	3	2	10	4	3	3	2	3	3	3	1	1	1	1	4	3	1	3	4	3	4	5	4	5	4	3	5	3	4	4	
65	Emiline Minchella	2018162065	2	1	10	3	4	5	3	4	4	4	4	4	4	3	4	4	4	5	4	3	3	2	1	3	4	2	2	3	4	3	
66	Cob Hook	2018162066	2	2	11	4	4	4	5	3	4	4	4	4	4	3	5	4	5	5	3	3	5	2	4	1	2	4	3	3	4	2	
67	Lacie McGilben	2018162067	1	1	17	4	4	5	3	3	4	5	3	3	5	4	3	3	4	3	3	5	5	4	4	3	4	4	4	3	4	4	
68	Isahella Jacobsohn	2018162068	3	1	12	1	1	3	2	2	4	3	3	2	4	2	1	3	3	4	3	3	2	3	3	5	4	4	5	4	3	4	
69	Hugues Gullen	2018162069	2	1	8	3	3	2	5	5	5	5	5	4	4	3	4	4	4	5	5	4	4	3	3	4	2	2	2	2	3	1	
70	Chlo O'Mohun	2018162070	1	1	12	5	3	4	4	5	5	5	4	4	4	3	4	3	4	3	3	4	3	3	1	1	4	3	3	4	3	4	
71	Elayne Demaid	2018162071	2	1	3	3	3	4	4	4	5	3	3	3	5	4	4	4	4	4	4	4	5	1	3	3	1	3	1	2	2	2	
72	Lauree Butner	2018162072	1	1	16	4	3	4	3	3	3	4	3	5	2	4	3	5	2	4	5	3	5	2	2	4	3	2	3	4	2	1	
73	Pierce Greenshiels	2018162073	2	2	3	5	5	5	3	3	5	3	3	2	4	4	5	5	4	5	3	4	5	4	3	3	3	3	4	2	2	3	
74	Sabrina Pideon	2018162074	1	2	10	5	4	3	3	4	4	5	5	4	4	3	4	3	5	3	2	3	3	3	3	1	3	3	4	2	3	3	
75	Alessandra Northall	2018162075	2	2	12	4	4	5	4	4	2	4	5	4	3	5	4	3	5	4	5	4	3	4	4	1	2	4	3	2	4	1	
76	Barbey Darlasson	2018162076	2	1	14	4	4	4	4	4	3	5	5	5	4	5	5	5	4	5	3	4	5	1	1	4	2	3	2	4	3	2	
77	Adele Went	2018162077	1	2	13	4	3	4	3	4	4	3	3	5	4	2	4	4	4	4	2	4	4	2	3	2	3	4	3	4	3	3	
78	Orella Tudgay	2018162078	2	1	10	5	3	3	4	5	3	5	3	4	4	4	5	4	3	4	4	4	4	3	3	2	3	1	1	3	3	3	
79	Ethelind Marchment	2018162079	1	2	3	5	4	3	3	4	4	5	4	5	3	3	5	3	3	5	4	4	5	2	2	3	1	4	4	4	3	3	
80	Nap Didsbury	2018162080	2	1	13	3	3	4	3	5	3	4	3	5	4	4	3	3	4	3	5	4	4	2	2	4	2	1	4	3	1	3	
81	Pace MacAvddy	2018162081	2	2	16	4	4	3	4	4	3	2	3	3	5	5	4	4	5	5	3	5	5	4	2	2	2	1	4	1	2	2	
82	Emmott Hustings	2018162082	1	1	15	5	3	4	5	3	5	4	4	4	4	4	4	5	3	2	5	4	5	4	4	4	4	4	2	4	2	2	
83	Katheryn Laughlan	2018162083	1	2	15	5	4	5	3	5	4	5	4	3	4	4	4	5	4	5	5	3	3	2	1	3	3	3	2	1	4	4	
84	Benjie Kellaway	2018162084	1	1	6	4	4	5	4	3	3	5	5	5	4	3	4	4	5	2	3	4	4	3	1	1	1	2	3	2	4	3	
85	Murdoch Foxley	2018162085	3	2	5	3	2	1	4	3	2	3	1	3	2	3	3	2	4	2	2	3	3	5	3	2	3	4	4	3	5	4	
86	Malvin Kenyam	2018162086	3	1	1	4	3	1	4	3	1	3	1	3	1	1	4	2	2	1	3	4	3	5	3	5	4	4	4	3	3	5	
87	Fleur Caress	2018162087	1	2	10	3	5	4	4	4	3	4	5	3	5	4	2	2	2	4	3	4	4	3	2	2	3	3	1	4	3	4	
88	Regen Boxall	2018162088	2	1	17	4	4	4	5	3	3	5	5	5	4	4	3	4	3	5	5	4	5	2	3	1	3	2	3	1	2	4	
89	Maureen Spurier	2018162089	3	2	14	3	4	3	3	3	4	3	2	1	2	2	1	3	3	3	1	2	3	4	3	3	4	5	4	5	5	4	
90	Rhiamon Philipet	2018162090	2	2	8	5	5	4	3	3	2	3	4	3	4	3	4	3	5	3	4	4	3	4	4	4	3	4	3	1	4	2	
91	Case Oughtright	2018162091	2	1	6	4	5	3	3	5	2	2	3	2	5	4	5	5	5	3	4	5	4	2	4	1	2	1	4	3	2	4	
92	Brice Duffer	2018162092	1	1	3	3	4	5	4	4	4	4	4	4	3	4	5	3	2	4	4	4	2	3	3	3	3	3	3	3	1	2	
93	Nikita Murrie	2018162093	2	1	1	3	5	3	3	3	3	4	5	3	3	5	4	4	4	5	5	3	3	2	3	4	1	2	4	2	3	3	
94	Karlyn Brereton	2018162094	3	2	3	4	3	3	2	3	3	2	1	1	2	4	1	3	3	2	3	3	1	4	3	5	4	3	5	5	4	5	
95	Alisa Delong	2018162095	3	1	11	2	3	2	4	1	3	1	3	4	2	3	2	1	1	3	4	2	4	4	5	4	3	5	4	4	4	4	
96	Hurlee Bezley	2018162096	1	2	13	5	4	5	5	4	5	5	4	4	3	4	4	5	4	4	5	5	4	2	1	2	1	4	2	1	2	3	
97	Sibilla Hedgeley	2018162097	3	1	13	1	3	3	3	4	4	3	3	2	3	1	1	4	3	1	1	3	4	4	3	4	3	3	4	5	4	4	
98	Linoel Ivanyushin	2018162098	3	1	17	1	3	3	4	3	4	3	3	4	3	2	1	4	2	3	2	2	2	3	5	5	3	4	4	4	3	2	
99	Angela Pandey	2018162099	2	2	11	3	2	4	3	3	4	3	3	2	4	4	4	3	5	4	3	4	3	3	2	3	2	1	3	3	2	3	
100	Haven Barriball	2018162100	3	2	2	1	1	3	4	2	3	2	3	2	3	1	3	2	1	3	3	3	2	3	5	3	4	3	3	4	4	5	
101	Austin Dailly	2018162101	2	1	16	4	2	4	5	4	5	3	2	5	4	5	3	5	5	4	4	4	4	4	2	1	2	1	2	2	4	2	
102	Lanni Lisett	2018162102	1	1	16	4	5	5	4	5	4	3	5	5	3	3	3	2	3	4	4	3	5	1	2	4	3	4	1	3	3	3	
103	Maitilde Werrett	2018162103	2	1	13	4	4	4	3	4	5	3	3	4	5	5	4	5	4	4	4	4	5	2	3	3	2	4	3	3	3	2	
104	Ahmed Himpson	2018162104	2	2	12	4	5	3	5	2	4	3	4	4	3	3	4	4	5	5	5	5	4	4	2	3	2	2	3	2	2	2	
105	Magdalen Balharry	2018162105	2	2	4	4	4	3	2	5	2	3	2	5	5	5	3	3	3	4	3	5	4	4	1	2	2	2	2	2	1	4	
106	Meryl Whitticks	2018162106	2	1	6	4	4	4	3	5	5	3	4	4	5	4	4	5	5	3	3	5	4	2	2	3	2	3	3	3	4	3	
107	Dexter Muffen	2018162107	1	2	8	4	4	4	4	3	3	3	4	4	4	3	3	5	4	4	4	4	3	4	4	3	3	3	2	2	3	2	
108	Elysha Attac	2018162108	1	2	11	3	5	5	4	3	3	4	5	5	3	2	4	3	3	3	4	4	5	2	3	4	1	4	2	2	1	3	
109	Reed Ranner	2018162109	1	2	14	5	4	4	5	3	5	3	4	5	4	4	4	5	2	4	5	4	3	4	4	4	2	4	3	3	1	2	
110	Amory Caff	2018162110	1	1	4	5	5	5	4	4	3	3	3	4	4	4	4	4	4	4	3	2	3	3	2	3	4	1	2	4	2	3	
111	Vinson McLese	2018162111	2	2	2	5	3	4	4	3	3	5	4	4	4	5	4	5	4	3	5	5	4	2	1	2	1	3	2	2	4	1	
112	Lennard Blabber	2018162112	3	2	5	1	2	2	3	4	1	2	3	2	3	4	3	3	2	3	2	4	3	4	5	4	5	4	4	5	5	2	
113	James Cumbridge	2018162113	3	2	10	2	1	3	3	3	1	1	3	2	3	2	2	3	3	1	3	4	1	3	2	5	5	4	5	4	4	5	
114	Anastassia Merrell	2018162114	1	2	2	5	5	4	5	4	4	4	5	3	3	3	4	4	4	5	5	2	4	2	4	4	4	3	3	4	3	3	
115	Kacie Tander	2018162115	1	1	7	4	3	3	5	4	5	5	5	3	3	5	5	2	5	4	3	4	5	3	4	1	4	1	4	3	4	4	
116	Wendeline Ferney	2018162116	1	2	2	5	3	4	4	5	5	5	4	3	4	3	3	4	4	2	3	3	3	4	3	3	2	2	2	1	3	3	
117	Ardyce Kinnon	2018162117	1	2	10	4	3	3	3	5	3	5	4	5	4	4	3	4	4	5	2	5	5	2	3	4	4	2	4	3	4	2	
118	Pearle Philson	2018162118	3	2	4	3	2	1	3	3	4	4	4	3	3	1	3	3	3	2	3	1	3	5	4	4	5	4	5	3	4	3	
119	Zuzana Guyan	2018162119	2	1	13	3	3	4	3	4	4	4	3	4	5	4	4	4	4	4	5	3	4	4	2	4	3	4	4	2	1	4	
120	Min Ganter	2018162120	1	2	8	5	4	5	5	3	5	5	4	3	2	3	3	4	4	4	3	3	3	1	3	4	2	2	4	3	2	4	
121	Kalle Shaplin	2018162121	2	1	7	5	4	3	5	2	5	4	3	3	5	5	4	4	4	4	5	4	4	2	1	3	2	3	2	2	2	4	
122	Phaidra Gowdridge	2018162122	2	1	13	2	3	5	4	3	4	3	4	5	5	4	3	3	3	5	5	3	3	3	3	3	4	4	4	2	3	4	
123	Thom Bentje	2018162123	2	2	12	5	5	4	3	4	3	3	4	5	3	4	5	4	3	4	4	3	5	4	2	1	2	2	2	2	1	2	
124	Trescha McDuff	2018162124	2	1	7	4	2	3	4	3	2	3	3	3	3	4	4	5	3	3	5	4	4	1	2	3	2	4	3	2	3	1	
125	Lorry Gadney	2018162125	1	2	8	4	3	5	3	3	4	4	5	4	5	4	4	5	3	4	4	3	5	4	2	1	2	2	3	3	3	4	
126	Lorianna MacConnechie	2018162126	3	1	3	3	2	1	4	4	1	1	2	4	1	1	1	4	1	3	3	3	3	5	3	4	5	4	4	3	5	4	
127	Gennie Mariot	2018162127	3	2	3	1	3	1	4	3	1	1	1	2	1	3	2	3	3	4	1	1	4	2	4	5	4	4	5	5	2	4	
128	Valentin Mordue	2018162128	1	2	12	4	4	5	3	4	5	5	3	4	3	4	2	5	2	4	4	4	4	1	4	3	4	3	3	3	1	3	
129	Ramon Takkos	2018162129	3	1	6	3	2	1	3	4	4	2	4	3	1	3	4	1	4	2	1	2	2	4	3	3	2	4	4	5	5	2	
130	Elsie Dmitrienko	2018162130	3	1	7	4	3	2	3	3	2	3	4	3	3	3	3	4	4	2	3	2	2	5	5	4	4	4	4	4	3	3	
131	Sherm Leyfield	2018162131	3	2	14	3	3	3	3	1	1	1	4	4	3	4	4	3	4	3	2	3	1	3	2	4	3	4	5	4	3	5	
132	Allix Warnock	2018162132	2	2	13	2	4	3	5	5	5	3	3	4	3	5	4	5	4	4	4	4	3	1	1	2	3	3	2	4	3	3	
133	Fergus Stansfield	2018162133	3	2	17	4	1	1	1	2	1	1	1	4	4	2	3	3	3	3	1	4	1	4	5	4	3	5	5	5	3	5	
134	Gui Josebury	2018162134	3	1	6	2	2	1	4	1	2	4	2	1	1	2	4	2	3	3	3	2	2	4	4	2	3	4	2	5	4	3	
135	Pren Errett	2018162135	3	2	11	2	3	2	2	3	3	4	3	3	1	2	4	1	4	3	3	2	4	4	5	2	4	4	3	3	4	4	
136	Arda Treweela	2018162136	1	1	1	5	4	5	5	5	3	4	4	4	5	5	3	4	3	5	4	5	3	3	3	1	4	4	4	3	3	3	
137	Raphael Daniau	2018162137	1	1	5	3	5	5	5	3	5	4	5	3	2	4	4	3	5	3	4	3	3	2	2	3	3	3	3	3	3	2	
138	Hallie Shilvock	2018162138	1	1	14	4	4	4	5	4	3	5	5	3	4	5	4	3	3	3	5	4	5	3	4	1	1	2	2	3	2	3	
139	Evita Vasnev	2018162139	3	2	11	1	2	2	2	1	3	3	3	1	2	4	3	4	3	3	1	2	3	3	4	3	3	3	4	5	4	4	
140	Henry Summerlie	2018162140	2	1	14	5	3	4	2	4	4	5	3	4	5	5	3	5	5	4	5	4	4	1	2	3	1	1	2	3	3	3	
141	Alyse Varey	2018162141	2	2	15	3	4	3	3	3	4	2	3	5	5	5	3	5	4	4	4	3	4	2	3	4	3	2	2	1	3	2	
142	Dougy Annies	2018162142	1	2	13	5	3	5	5	4	5	3	3	3	5	5	3	3	5	4	4	3	5	1	2	3	2	3	1	2	3	3	
143	Laurena Malyon	2018162143	2	1	4	5	4	3	3	5	3	3	3	5	4	4	3	4	5	5	3	4	5	3	2	3	2	2	2	3	2	3	
144	Shir Nattriss	2018162144	2	1	5	4	3	3	3	3	4	3	4	5	4	3	3	4	4	5	3	5	5	3	2	1	3	3	1	3	3	3	
145	Mirelle Ellissen	2018162145	2	2	13	4	5	2	2	3	3	3	5	3	4	3	5	3	4	5	4	5	5	4	3	2	3	4	2	2	1	3	
146	Natka Nutman	2018162146	3	2	8	2	3	3	2	2	2	4	3	4	3	1	2	3	4	2	2	3	4	4	4	4	4	4	5	4	4	3	
147	Niki Dillintone	2018162147	2	1	1	5	4	2	2	4	4	4	3	2	3	5	3	4	3	3	4	5	5	2	2	1	4	3	3	4	2	1	
148	Shell Guppey	2018162148	2	2	11	4	3	3	4	5	4	5	3	3	5	5	4	5	4	5	4	4	4	3	3	2	2	2	2	2	1	2	
149	Reidar Mucillo	2018162149	1	2	9	3	4	5	5	5	4	3	3	5	4	3	4	2	4	5	3	3	5	3	3	2	3	3	1	3	4	2	
150	Hamish Eberdt	2018162150	3	1	5	1	4	3	1	3	3	4	1	1	3	3	3	3	2	4	3	2	3	5	4	5	2	4	2	5	2	3	
151	Tania Lynds	2018162151	1	2	6	4	5	4	4	4	4	3	4	4	4	5	5	5	4	3	4	3	3	1	1	2	4	2	3	3	4	1	
152	Ludovika Feathers	2018162152	3	1	14	3	3	4	2	4	3	4	4	4	3	2	4	2	2	3	4	4	4	4	5	4	4	4	5	4	4	4	
153	Katine Krook	2018162153	3	2	8	3	1	3	3	2	4	2	3	3	4	3	3	4	4	3	2	3	2	5	4	4	5	4	3	5	4	3	
154	Ediva Clorley	2018162154	1	1	14	5	5	5	4	5	4	3	5	5	2	3	4	4	4	5	3	4	3	3	3	2	3	2	2	3	4	3	
155	Neil Snoddy	2018162155	2	2	6	4	5	4	3	4	4	3	4	3	5	4	5	3	5	5	4	3	5	2	4	2	4	3	4	3	2	3	
156	Lilyan Brockway	2018162156	1	1	3	5	5	5	4	5	5	5	4	3	3	3	2	4	4	3	4	2	3	1	4	3	4	3	4	3	3	4	
157	Shermy Salway	2018162157	1	1	17	4	5	3	4	4	3	5	4	4	5	3	3	4	2	3	5	2	3	4	4	2	3	4	3	1	3	4	
158	Florie Kupke	2018162158	3	2	8	1	3	1	2	2	4	3	3	4	1	3	3	4	3	1	3	3	2	4	3	5	3	5	5	4	4	4	
159	Aldon Flips	2018162159	3	1	17	2	3	3	2	1	1	3	3	4	2	3	2	2	3	4	1	1	4	3	3	5	4	4	4	3	3	3	
160	Sara Simonson	2018162160	3	1	14	3	4	3	4	1	1	1	2	2	4	3	2	4	3	3	3	2	1	4	4	3	5	4	4	3	5	5	
161	Bing Piddlehinton	2018162161	1	2	13	4	4	4	4	5	5	4	4	4	4	3	4	4	4	4	3	5	4	1	1	1	3	3	4	2	3	2	
162	Ferdinande Beslier	2018162162	1	2	16	5	4	5	3	3	3	4	5	4	5	5	3	3	3	5	4	5	3	3	1	4	1	4	2	2	2	3	
163	Nomi Saiger	2018162163	2	1	5	4	5	3	3	2	4	4	5	4	3	4	4	3	5	3	5	3	4	3	4	4	1	3	1	4	2	3	
164	Karine Speight	2018162164	1	2	4	5	5	4	5	5	4	3	4	4	4	3	4	4	4	5	4	4	4	3	3	1	3	3	4	2	3	2	
165	Ansley Antognazzi	2018162165	1	2	8	5	5	3	4	3	5	5	5	5	3	4	3	4	4	3	4	2	3	2	4	3	3	3	2	4	3	1	
166	Zed Merrall	2018162166	1	1	9	5	5	4	3	3	5	5	3	4	3	3	3	4	3	4	4	5	2	4	4	3	1	4	4	4	4	3	
167	Allen Grishanin	2018162167	2	2	6	4	4	3	3	5	5	3	2	5	5	5	4	4	3	5	4	4	5	1	3	2	4	1	2	3	3	3	
168	Deana Garrould	2018162168	1	1	12	3	4	4	4	4	5	3	4	4	3	5	4	3	4	3	5	3	5	3	1	1	3	2	3	3	2	3	
169	Brigitta Woolveridge	2018162169	1	1	1	4	5	5	4	3	3	4	5	4	3	3	5	5	5	3	3	3	5	1	3	4	3	3	3	3	2	4	
170	Harv Cowan	2018162170	2	2	9	4	4	4	5	3	3	4	5	2	3	5	4	5	3	5	4	4	5	2	4	1	4	3	2	3	2	2	
171	Jan Coysh	2018162171	2	2	17	3	3	4	5	3	2	3	5	4	4	4	5	5	5	5	3	4	5	2	2	2	3	4	1	2	1	2	
172	Llewellyn Marin	2018162172	3	2	11	3	1	3	3	3	3	3	2	4	2	2	2	1	3	4	3	3	4	5	5	4	4	4	3	4	4	5	
173	Todd Hayers	2018162173	2	2	5	4	2	3	5	4	3	3	5	2	3	4	4	5	5	3	4	4	4	2	4	3	1	4	3	3	3	4	
174	Angy Compston	2018162174	2	1	3	4	4	2	5	3	5	2	3	4	5	5	5	3	4	5	3	4	3	2	1	3	1	3	2	1	1	4	
175	Alon Upex	2018162175	2	1	15	2	3	4	3	3	4	5	4	5	4	4	3	4	3	3	4	4	5	4	3	3	3	3	3	4	3	1	
176	Jaquelyn Finlay	2018162176	2	1	2	3	3	4	3	2	4	5	3	3	4	5	5	3	4	3	5	3	4	1	2	2	2	2	1	3	2	4	
177	Scarlett Flowers	2018162177	3	1	17	3	3	1	3	3	3	3	1	3	3	4	4	1	1	2	3	3	3	4	4	5	4	3	4	3	3	4	
178	Karyl Gillbard	2018162178	2	2	5	5	5	4	3	5	4	2	3	3	3	5	4	5	3	3	5	4	4	1	4	1	1	4	3	3	1	3	
